# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.46
2                         2.88
4                         5.81
8                        11.58
16                       22.97
32                       46.16
64                       92.59
128                     182.61
256                     358.12
512                     682.96
1024                   1246.39
2048                   2129.85
4096                   3262.94
8192                   1965.10
16384                  2601.01
32768                  2889.65
65536                  2913.94
131072                 5116.42
262144                 5136.76
524288                 5750.25
1048576                6745.02
2097152                7067.21
4194304                7077.19
Application 7588543 resources: utime ~4s, stime ~2s, Rss ~17880, inblocks ~12667, outblocks ~31402
Job Cleanup ran on Thu Feb 16 22:38:59 EST 2017
===============================
submit_args  : 	 submit_args = runjob_mpi.pbs
NIDS         : 	 900-901
NID Placement: 	 900/1 901/1 
